,Track Name,Track Links,Race Time,Race Number
159,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-8-2134882-1108186,Event Finished,8
160,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-9-2134886-1108186,Event Finished,9
161,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-10-2134890-1108186,Event Finished,10
162,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-11-2134895-1108186,Event Finished,11
163,MANAWATU (NZL),https://getsetbet.com.au//racing/greyhounds/manawatu/race-12-2134902-1108186,Event Finished,12
164,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-1-2134463-1108145,Event Finished,1
165,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-2-2134465-1108145,Event Finished,2
166,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-3-2134468-1108145,Event Finished,3
167,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-4-2134472-1108145,Event Finished,4
168,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-5-2134475-1108145,2024-05-21 12:19,5
169,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-6-2134478-1108145,2024-05-21 12:44,6
170,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-7-2134483-1108145,2024-05-21 13:10,7
171,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-8-2134487-1108145,2024-05-21 13:44,8
172,GLOUCESTER PARK (WA),https://getsetbet.com.au//racing/harness/gloucester-park/race-9-2134491-1108145,2024-05-21 14:09,9
173,TERANG (VIC),https://getsetbet.com.au//racing/harness/terang/race-1-2134481-1108147,Event Finished,1
174,TERANG (VIC),https://getsetbet.com.au//racing/harness/terang/race-2-2134485-1108147,Event Finished,2
175,TERANG (VIC),https://getsetbet.com.au//racing/harness/terang/race-3-2134489-1108147,Event Finished,3
176,TERANG (VIC),https://getsetbet.com.au//racing/harness/terang/race-4-2134494-1108147,Event Finished,4
177,TERANG (VIC),https://getsetbet.com.au//racing/harness/terang/race-5-2134499-1108147,Event Finished,5
178,TERANG (VIC),https://getsetbet.com.au//racing/harness/terang/race-6-2134506-1108147,Event Finished,6
